"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ERIKA KOKAY";"0005";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202428260005";"80.000,00";"0,00";"0,00";"160.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PATRUS ANANIAS";"0013";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"202414080013";"89.800,00";"0,00";"0,00";"89.800,00";"0,00";"89.800,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"WELLINGTON FAGUNDES";"0004";"Nacional";"Defesa nacional";"Atenção básica";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";"ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";"202438050004";"90.839,39";"43.076,43";"42.133,22";"48.706,17";"0,00";"48.706,17";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CLEITINHO";"0001";"SANTO ANTÔNIO DO JACINTO - MG";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS";"202442670001";"95.533,81";"0,00";"0,00";"191.067,62";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JULIO CESAR";"0003";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";"202412460003";"98.230,00";"0,00";"0,00";"196.460,00";"0,00";"0,00";
"2024";"Emenda de Bancada";"BANCADA DO CEARA";"0007";"CEARÁ (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"202471070007";"98.417,50";"0,00";"0,00";"168.430,00";"0,00";"28.405,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0010";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202420980010";"98.900,00";"9.000,00";"9.000,00";"179.800,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0011";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202420980011";"99.440,00";"45.373,00";"45.373,00";"107.324,00";"0,00";"810,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JULIO CESAR";"0007";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";"202412460007";"99.462,00";"0,00";"0,00";"198.924,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JULIO CESAR";"0004";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";"202412460004";"99.462,00";"0,00";"0,00";"198.924,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"NETO CARLETTO";"0005";"PORTO SEGURO - BA";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"202444380005";"99.582,00";"0,00";"0,00";"99.582,00";"0,00";"99.582,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LAFAYETTE DE ANDRADA";"0002";"BELO HORIZONTE - MG";"Defesa nacional";"Educação básica";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"21GP - FUNCIONAMENTO DOS ESTABELECIMENTOS DE EDUCACAO BASICA MILITARES DO MINISTERIO DA DEFESA";"FUNCIONAMENTO DOS ESTABELECIMENTOS DE EDUCACAO BASICA MILITARES DO MINISTERIO DA DEFESA";"202440290002";"99.725,10";"94.345,10";"94.345,10";"5.380,00";"0,00";"5.380,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LIDICE DA MATA";"0020";"BAHIA (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202424680020";"99.764,08";"99.764,08";"99.764,08";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JUSSARA LIMA";"0005";"PIRIPIRI - PI";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202444960005";"99.766,00";"99.766,00";"99.766,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"EROS BIONDINI";"0012";"BELO HORIZONTE - MG";"Defesa nacional";"Atenção básica";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";"ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";"202427590012";"99.859,96";"0,00";"0,00";"99.859,96";"0,00";"99.859,96";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ANDRE FIGUEIREDO";"0014";"CEARÁ (UF)";"Defesa nacional";"Defesa terrestre";"6112 - DEFESA NACIONAL";"21A0 - APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA";"APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA - DESPESAS DIVERSAS";"202420830014";"99.862,00";"23.052,00";"23.052,00";"76.810,00";"0,00";"76.810,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LIDICE DA MATA";"0004";"BAHIA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"202424680004";"99.869,85";"23.460,00";"23.460,00";"78.557,88";"0,00";"74.261,82";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"TIRIRICA";"0007";"Nacional";"Defesa nacional";"Normatização e fiscalização";"6112 - DEFESA NACIONAL";"21BY - FISCALIZACAO DA NAVEGACAO AQUAVIARIA";"FISCALIZACAO DA NAVEGACAO AQUAVIARIA - DESPESAS DIVERSAS";"202428180007";"99.984,95";"99.984,95";"99.984,95";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CHRIS TONIETTO";"0020";"Nacional";"Defesa nacional";"Formação de recursos humanos";"6112 - DEFESA NACIONAL";"20XR - CAPACITACAO PROFISSIONAL DA MARINHA";"CAPACITACAO PROFISSIONAL DA MARINHA - DESPESAS DIVERSAS";"202439420020";"99.986,30";"87.777,85";"82.902,15";"29.292,60";"0,00";"4.875,70";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROBERTA ROMA";"0016";"BAHIA (UF)";"Defesa nacional";"Defesa terrestre";"6112 - DEFESA NACIONAL";"21A0 - APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA";"APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA - DESPESAS DIVERSAS";"202444620016";"99.989,25";"99.989,25";"99.989,25";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DELEGADA ADRIANA ACCORSI";"0023";"GOIÁS (UF)";"Defesa nacional";"Desporto comunitário";"6111 - COOPERACAO DA DEFESA PARA O DESENVOLVIMENTO NACIONAL";"20IG - APOIO AO PROGRAMA FORCAS NO ESPORTE (PROFESP) E PROJETO JOAO DO PULO (PJP)";"APOIO AO PROGRAMA FORCAS NO ESPORTE (PROFESP) E PROJETO JOAO DO PULO (PJP)";"202443420023";"99.989,55";"99.989,55";"99.989,55";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"HELDER SALOMAO";"0005";"Nacional";"Organização agrária";"Reforma agrária";"5136 - GOVERNANCA FUNDIARIA, REFORMA AGRARIA E REGULARIZACAO DE TERRITORIOS QUILOMBOLAS E DE POVOS E COMUNIDADES TRADICIONAIS";"211A - DESENVOLVIMENTO E GESTAO AMBIENTAL PARA O PUBLICO DA REFORMA AGRARIA";"DESENVOLVIMENTO E GESTAO AMBIENTAL PARA O PUBLICO DA REFORMA AGRARIA - DESPESAS DIVERSAS";"202433120005";"99.990,00";"0,00";"0,00";"162.855,00";"0,00";"37.125,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JUSSARA LIMA";"0004";"COLÔNIA DO PIAUÍ - PI";"Saúde";"Atenção básica";"5119 - ATENCAO PRIMARIA A SAUDE";"8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE E SAUDE BUCAL";"ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS";"202444960004";"99.999,00";"99.999,00";"99.999,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MARCELO CASTRO";"0006";"PIAUÍ (UF)";"Gestão ambiental";"Preservação e conservação ambiental";"6114 - PROTECAO E RECUPERACAO DA BIODIVERSIDADE E COMBATE AO DESMATAMENTO E INCENDIOS";"20WM - APOIO A CRIACAO, GESTAO E IMPLEMENTACAO DAS UNIDADES DE CONSERVACAO FEDERAIS";"APOIO A CRIACAO, GESTAO E IMPLEMENTACAO DAS UNIDADES DE CONSERVACAO FEDERAIS - DESPESAS DIVERSAS";"202441830006";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DELEGADA ADRIANA ACCORSI";"0022";"GOIÁS (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"5811 - PROMOCAO DOS DIREITOS DAS PESSOAS COM DEFICIENCIA";"21G1 - PROMOCAO E DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIENCIA";"PROMOCAO E DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIENCIA - DESPESAS DIVERSAS";"202443420022";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ALBERTO MOURAO";"0005";"PRAIA GRANDE - SP";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";"202435970005";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ANDRE FERREIRA";"0009";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202439130009";"100.000,00";"0,00";"0,00";"200.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ERIKA HILTON";"0023";"SÃO PAULO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202443680023";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERTA ROMA";"0001";"DIAS D'ÁVILA - BA";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444620001";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ATILA LIRA";"0003";"PIRIPIRI - PI";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";"202443090003";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0012";"PELOTAS - RS";"Agricultura";"Promoção da produção agropecuária";"1144 - AGROPECUARIA SUSTENTAVEL";"20ZV - FOMENTO AO SETOR AGROPECUARIO";"FOMENTO AO SETOR AGROPECUARIO - DESPESAS DIVERSAS";"202420980012";"100.000,00";"95.500,00";"95.500,00";"9.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROBINSON FARIA";"0003";"RIO GRANDE DO NORTE (UF)";"Desporto e lazer";"Desporto comunitário";"5126 - ESPORTE PARA A VIDA";"20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL";"DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS";"202444650003";"100.000,00";"0,00";"0,00";"200.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ADOLFO VIANA";"0001";"BAHIA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"202438980001";"100.000,00";"0,00";"0,00";"200.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PR. MARCO FELICIANO";"0011";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202428120011";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROBINSON FARIA";"0014";"CEARÁ-MIRIM - RN";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";"202444650014";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CAPITAO ALBERTO NETO";"0004";"Nacional";"Transporte";"Normatização e fiscalização";"3105 - PORTOS E TRANSPORTE AQUAVIARIO";"2090 - FISCALIZACAO DOS SERVICOS E DA EXPLORACAO DA INFRAESTRUTURA DO TRANSPORTE AQUAVIARIO";"FISCALIZACAO DOS SERVICOS E DA EXPLORACAO DA INFRAESTRUTURA DO TRANSPORTE AQUAVIARIO";"202439260004";"100.000,00";"82.670,49";"100.000,00";"0,00";"0,00";"0,00";
